year	set	true_est	done_sup	partial_bl	excluded_unsup	todo_unwritten	todo_unregistered
1993-08-05	LEA	323	256	10	28	1	28
1993-10-04	LEB	330	263	10	28	1	28
1993-12-01	2ED	330	263	10	28	1	28
1993-12-17	ARN	105	70	9	13	0	13
1994-03-04	ATQ	114	78	8	14	0	14
1994-04-01	RV	328	274	9	22	1	22
1994-06-01	LEG	365	231	24	55	0	55
1994-08-01	DRK	134	89	15	15	0	15
1994-09-01	PHPR	7	5	0	1	0	1
1994-11-01	FEM	206	166	2	19	0	19
1995-04-01	4ED	403	334	20	24	1	24
1995-06-01	ICE	442	285	36	57	5	59
1995-07-01	CHR	145	95	10	20	0	20
1995-10-01	HML	153	121	6	13	0	13
1996-06-10	ALL	222	155	18	22	4	23
1996-08-02	PARL	7	7	0	0	0	0
1996-10-08	MIR	374	298	28	24	0	24
1997-02-03	VIS	186	129	19	18	1	19
1997-03-24	5ED	481	389	29	31	0	32
1997-05-01	POR	222	220	2	0	0	0
1997-06-09	WTH	175	136	23	8	0	8
1997-07-12	PGRU	5	5	0	0	0	0
1997-10-14	TMP	375	305	20	25	0	25
1998-03-02	STH	160	122	6	16	0	16
1998-06-15	EXO	153	122	11	10	0	10
1998-06-24	P02	166	163	1	1	0	1
1998-08-11	UGL	146	5	25	58	0	58
1998-10-12	USG	362	312	28	11	0	11
1998-11-01	ATH	89	82	3	0	4	0
1999-01-01	PAL99	9	9	0	0	0	0
1999-02-15	ULG	148	131	7	5	0	5
1999-04-21	6ED	362	328	10	12	0	12
1999-06-07	UDS	145	127	14	2	0	2
1999-07-01	S99	174	171	1	1	0	1
1999-07-06	PTK	181	177	0	1	2	1
1999-10-04	MRQ	363	315	23	12	1	12
1999-11-12	BRB	136	134	2	0	0	0
2000-01-01	PAL00	11	11	0	0	0	0
2000-02-14	NMS	148	128	10	5	0	5
2000-04-01	S00	57	57	0	0	0	0
2000-06-05	PCY	157	108	23	13	0	13
2000-10-01	BTD	91	88	1	1	0	1
2000-10-02	INV	371	306	22	21	1	21
2001-01-01	PAL01	12	12	0	0	0	0
2001-02-05	PLS	150	119	23	4	0	4
2001-04-11	7ED	355	335	10	5	0	5
2001-06-04	APC	153	114	19	10	0	10
2001-10-01	ODY	373	303	24	23	0	23
2001-12-01	DM	57	52	3	1	0	1
2002-01-01	PAL02	5	5	0	0	0	0
2002-02-04	TOR	147	117	21	4	1	4
2002-05-27	JUD	151	116	18	8	1	8
2002-06-24	PRM	1346	1091	124	37	57	37
2002-10-07	ONS	372	307	18	22	3	22
2003-01-01	PAL03	8	8	0	0	0	0
2003-02-03	LGN	154	131	4	9	1	9
2003-05-26	SCG	158	119	9	15	0	15
2003-07-28	8ED	364	336	14	7	0	7
2003-10-02	MRD	327	272	12	21	1	21
2004-01-01	PAL04	20	7	1	6	0	6
2004-02-06	DST	175	141	18	8	0	8
2004-06-04	5DN	169	150	13	3	0	3
2004-10-01	CHK	346	271	14	28	5	28
2004-11-19	UNH	264	5	11	124	1	123
2005-01-01	PAL05	8	8	0	0	0	0
2005-01-01	PMPS	20	20	0	0	0	0
2005-02-04	BOK	186	143	11	16	0	16
2005-06-03	SOK	185	143	12	15	0	15
2005-07-29	9ED	366	343	9	7	0	7
2005-08-22	PSAL	770	692	49	9	11	9
2005-10-07	RAV	323	270	19	17	0	17
2006-01-01	PAL06	9	9	0	0	0	0
2006-01-01	PMPS06	5	5	0	0	0	0
2006-02-03	GPT	171	130	29	6	0	6
2006-05-05	DIS	197	136	29	15	2	15
2006-07-21	CSP	171	127	12	16	0	16
2006-10-06	TSB	128	101	12	7	1	7
2006-10-06	TSP	314	259	28	13	1	13
2007-01-01	PMPS07	5	5	0	0	0	0
2007-02-02	PLC	179	133	18	13	2	13
2007-05-04	FUT	197	134	28	14	7	14
2007-07-13	10E	391	365	11	7	1	7
2007-09-10	ME1	211	166	13	16	0	16
2007-10-12	LRW	341	238	21	40	2	40
2008-01-01	PMPS08	6	6	0	0	0	0
2008-02-01	MOR	163	129	8	13	0	13
2008-05-02	SHM	313	266	23	12	0	12
2008-07-25	EVE	188	169	6	6	1	6
2008-08-29	FVD	15	12	3	0	0	0
2008-09-22	ME2	262	211	17	17	0	17
2008-10-03	ALA	257	230	11	8	0	8
2009-01-01	PDP10	3	3	0	0	0	0
2009-01-01	PMPS09	5	5	0	0	0	0
2009-02-06	CFX	146	135	9	1	0	1
2009-04-10	DVD	62	62	0	0	0	0
2009-04-30	ARB	148	137	7	2	0	2
2009-07-17	M10	255	234	9	6	0	6
2009-08-28	FVE	16	12	2	1	0	1
2009-09-04	HOP	171	152	14	2	1	2
2009-09-07	ME3	245	202	12	15	1	15
2009-10-02	ZEN	269	249	20	0	0	0
2009-10-30	GVL	63	62	1	0	0	0
2009-11-20	PDS	43	36	3	2	0	2
2010-01-01	PMPS10	5	5	0	0	0	0
2010-02-05	WWK	152	137	9	2	2	2
2010-03-19	PVC	74	63	9	0	2	0
2010-04-23	ROE	254	227	14	6	1	6
2010-06-04	DPA	118	110	8	0	0	0
2010-06-18	ARC	150	138	10	0	2	0
2010-07-16	M11	257	238	7	6	0	6
2010-08-27	FVR	15	14	1	0	0	0
2010-09-03	EVT	79	77	2	0	0	0
2010-10-01	SOM	260	229	13	9	0	9
2010-11-08	TD0	205	188	7	4	2	4
2010-11-19	PD2	34	30	4	0	0	0
2011-01-01	PDP11	3	1	2	0	0	0
2011-01-01	PMPS11	5	5	0	0	0	0
2011-01-01	PS11	235	219	10	1	4	1
2011-01-10	ME4	284	236	18	15	0	15
2011-02-04	MBS	158	147	5	3	0	3
2011-04-01	KVD	83	75	4	2	0	2
2011-05-12	TD2	95	82	7	0	6	0
2011-05-13	NPH	181	149	19	6	1	6
2011-06-17	CMD	337	274	24	19	1	19
2011-07-15	M12	257	236	7	6	2	6
2011-08-26	FVL	15	12	3	0	0	0
2011-09-02	AVN	80	76	4	0	0	0
2011-09-30	ISD	288	272	8	4	0	4
2011-11-18	PD3	30	26	4	0	0	0
2012-01-01	PDP12	3	3	0	0	0	0
2012-01-01	PIDW	9	9	0	0	0	0
2012-02-03	DKA	179	151	14	7	0	7
2012-03-30	VVK	79	68	7	2	0	2
2012-05-04	AVR	257	221	13	11	1	11
2012-06-01	PC2	159	149	2	3	2	3
2012-07-13	M13	252	241	6	2	1	2
2012-08-31	V12	15	13	1	0	1	0
2012-09-07	IVG	91	80	9	1	0	1
2012-10-05	RTR	279	258	10	5	1	5
2012-11-02	CM1	21	12	3	3	0	3
2013-01-01	PDP13	3	3	0	0	0	0
2013-01-01	PI13	6	4	0	1	0	1
2013-02-01	GTC	265	215	18	16	0	16
2013-03-15	SVT	80	76	4	0	0	0
2013-05-03	DGM	166	128	26	6	0	6
2013-06-07	MMA	237	201	16	8	4	8
2013-07-19	M14	251	236	12	1	1	1
2013-08-23	V13	20	17	3	0	0	0
2013-09-06	HVM	81	77	4	0	0	0
2013-09-27	THS	250	226	22	1	0	1
2013-11-01	C13	376	294	42	18	2	20
2014-01-01	PDP14	2	2	0	0	0	0
2014-01-01	PI14	3	3	0	0	0	0
2014-02-07	BNG	173	144	17	6	0	6
2014-03-14	JVV	88	84	4	0	0	0
2014-05-02	JOU	170	128	32	5	0	5
2014-05-30	MD1	26	25	1	0	0	0
2014-06-06	CNS	253	158	29	29	8	29
2014-06-16	VMA	336	292	21	11	1	11
2014-07-18	M15	293	264	16	6	1	6
2014-08-22	V14	15	13	2	0	0	0
2014-09-05	DDN	88	75	3	3	4	3
2014-09-26	KTK	281	237	21	11	0	12
2014-11-07	C14	355	291	37	13	1	13
2014-12-05	EVG	62	61	1	0	0	0
2014-12-05	JVC	66	53	5	4	0	4
2015-01-17	UGIN	26	19	5	2	0	0
2015-01-23	FRF	199	158	13	14	0	14
2015-02-27	EVK	65	64	1	0	0	0
2015-03-27	DTK	278	227	24	13	0	14
2015-05-06	TPR	281	242	15	12	0	12
2015-05-22	MM2	251	235	11	2	1	2
2015-07-17	ORI	302	258	26	9	0	9
2015-08-21	V15	15	13	2	0	0	0
2015-08-28	ZVE	77	70	4	0	3	0
2015-10-02	BFZ	300	285	13	1	0	1
2015-10-02	EXP	45	45	0	0	0	0
2015-11-13	C15	355	287	46	10	1	11
2015-11-18	PZ1	174	102	44	8	11	9
2016-01-22	OGW	189	171	11	3	1	3
2016-02-26	BVC	76	76	0	0	0	0
2016-04-08	SOI	336	311	13	6	0	6
2016-04-08	W16	16	14	2	0	0	0
2016-06-10	EMA	252	232	14	3	0	3
2016-07-22	EMN	231	189	26	7	2	7
2016-08-19	V16	16	12	3	0	1	0
2016-08-26	CN2	249	131	64	27	0	27
