year	set	reg	supported	borderline	unsupported	unwritten
1993-08-05	LEA	295	256	10	28	1
1993-10-04	LEB	302	263	10	28	1
1993-12-01	2ED	302	263	10	28	1
1993-12-17	ARN	92	70	9	13	0
1994-03-04	ATQ	100	78	8	14	0
1994-04-01	RV	306	274	9	22	1
1994-06-01	LEG	310	231	24	55	0
1994-08-01	DRK	119	89	15	15	0
1994-09-01	PHPR	6	5	0	1	0
1994-11-01	FEM	187	166	2	19	0
1995-04-01	4ED	379	334	20	24	1
1995-06-01	ICE	383	285	36	57	5
1995-07-01	CHR	125	95	10	20	0
1995-10-01	HML	140	121	6	13	0
1996-06-10	ALL	199	155	18	22	4
1996-08-02	PARL	7	7	0	0	0
1996-10-08	MIR	350	298	28	24	0
1997-02-03	VIS	167	129	19	18	1
1997-03-24	5ED	449	389	29	31	0
1997-05-01	POR	222	220	2	0	0
1997-06-09	WTH	167	136	23	8	0
1997-07-12	PGRU	5	5	0	0	0
1997-10-14	TMP	350	305	20	25	0
1998-03-02	STH	144	122	6	16	0
1998-06-15	EXO	143	122	11	10	0
1998-06-24	P02	165	163	1	1	0
1998-08-11	UGL	88	5	25	58	0
1998-10-12	USG	351	312	28	11	0
1998-11-01	ATH	89	82	3	0	4
1999-01-01	PAL99	9	9	0	0	0
1999-02-15	ULG	143	131	7	5	0
1999-04-21	6ED	350	328	10	12	0
1999-06-07	UDS	143	127	14	2	0
1999-07-01	S99	173	171	1	1	0
1999-07-06	PTK	180	177	0	1	2
1999-10-04	MRQ	351	315	23	12	1
1999-11-12	BRB	136	134	2	0	0
2000-01-01	PAL00	11	11	0	0	0
2000-02-14	NMS	143	128	10	5	0
2000-04-01	S00	57	57	0	0	0
2000-06-05	PCY	144	108	23	13	0
2000-10-01	BTD	90	88	1	1	0
2000-10-02	INV	350	306	22	21	1
2001-01-01	PAL01	12	12	0	0	0
2001-02-05	PLS	146	119	23	4	0
2001-04-11	7ED	350	335	10	5	0
2001-06-04	APC	143	114	19	10	0
2001-10-01	ODY	350	303	24	23	0
2001-12-01	DM	56	52	3	1	0
2002-01-01	PAL02	5	5	0	0	0
2002-02-04	TOR	143	117	21	4	1
2002-05-27	JUD	143	116	18	8	1
2002-06-24	PRM	1309	1091	124	37	57
2002-10-07	ONS	350	307	18	22	3
2003-01-01	PAL03	8	8	0	0	0
2003-02-03	LGN	145	131	4	9	1
2003-05-26	SCG	143	119	9	15	0
2003-07-28	8ED	357	336	14	7	0
2003-10-02	MRD	306	272	12	21	1
2004-01-01	PAL04	14	7	1	6	0
2004-02-06	DST	167	141	18	8	0
2004-06-04	5DN	166	150	13	3	0
2004-10-01	CHK	318	271	14	28	5
2004-11-19	UNH	141	5	11	124	1
2005-01-01	PAL05	8	8	0	0	0
2005-01-01	PMPS	20	20	0	0	0
2005-02-04	BOK	170	143	11	16	0
2005-06-03	SOK	170	143	12	15	0
2005-07-29	9ED	359	343	9	7	0
2005-08-22	PSAL	761	692	49	9	11
2005-10-07	RAV	306	270	19	17	0
2006-01-01	PAL06	9	9	0	0	0
2006-01-01	PMPS06	5	5	0	0	0
2006-02-03	GPT	165	130	29	6	0
2006-05-05	DIS	182	136	29	15	2
2006-07-21	CSP	155	127	12	16	0
2006-10-06	TSB	121	101	12	7	1
2006-10-06	TSP	301	259	28	13	1
2007-01-01	PMPS07	5	5	0	0	0
2007-02-02	PLC	166	133	18	13	2
2007-05-04	FUT	183	134	28	14	7
2007-07-13	10E	384	365	11	7	1
2007-09-10	ME1	195	166	13	16	0
2007-10-12	LRW	301	238	21	40	2
2008-01-01	PMPS08	6	6	0	0	0
2008-02-01	MOR	150	129	8	13	0
