name,status,effort,type_line,mana_cost,cmc,rarity,first_set,first_released,keywords,oracle_text,effort_reason
A-Carnelian Orb of Dragonkind,missing,Easy,Artifact,{2}{R},3.0,uncommon,hbg,2022-08-11,,"{T}: Add one mana of any color. If that mana is spent on a Dragon creature spell, it gains haste until end of turn.",
A-Cosmos Elixir,missing,Easy,Artifact,{4},4.0,rare,khm,2021-12-09,Scry,"At the beginning of your end step, draw a card if your life total is greater than your starting life total. Otherwise, you gain 2 life and scry 1.",
A-Lantern of Revealing,missing,Easy,Artifact,{3},3.0,common,hbg,2022-08-11,,"{T}: Add one mana of any color.
{3}, {T}: Look at the top card of your library. If it's a land card, you may put it onto the battlefield tapped. If you don't put the card onto the battlefield, you may put it on the bottom of your library.",
A-Lapis Orb of Dragonkind,missing,Easy,Artifact,{2}{U},3.0,uncommon,hbg,2022-08-11,Scry,"{T}: Add one mana of any color. When you spend this mana to cast a Dragon creature spell, scry 2.",
A-Navigation Orb,missing,Easy,Artifact,{3},3.0,uncommon,hbg,2022-08-11,,"{1}, {T}, Sacrifice Navigation Orb: Search your library for up to two basic land cards and/or Gate cards, reveal those cards, put one onto the battlefield tapped and the other into your hand, then shuffle.",
A-Ominous Parcel,missing,Easy,Artifact,{1},1.0,common,snc,2022-10-06,,"{1}, {T}, Sacrifice Ominous Parcel: Search your library for a basic land card, reveal it, put it into your hand, then shuffle.
{5}, {T}, Sacrifice Ominous Parcel: It deals 4 damage to target creature.",
Adherent's Heirloom,missing,Easy,Artifact,{3},3.0,uncommon,yecl,2026-02-03,Seek,"When this artifact enters, seek a creature card of the most prevalent creature type in your library.
{T}: Add one mana of any color. Spend this mana only to cast a creature spell.",
Aether Syphon,missing,Easy,Artifact,{1}{U}{U},3.0,uncommon,dft,2025-02-14,"Max speed, Mill, Start your engines!","Start your engines! (If you have no speed, it starts at 1. It increases once on each of your turns when an opponent loses life. Max speed is 4.)
{2}, {T}: Draw a card.
Max speed — Whenever you draw a card, each opponent mills two cards. (Each opponent puts the top two cards of their library into their graveyard.)",
Aetherflux Conduit,missing,Easy,Artifact,{6},6.0,rare,drc,2025-02-14,,"Whenever you cast a spell, you get an amount of {E} (energy counters) equal to the amount of mana spent to cast that spell.
{T}, Pay fifty {E}: Draw seven cards. You may cast any number of spells from your hand without paying their mana costs.",
Altar of Mogis,missing,Easy,Artifact,,0.0,common,tbth,2014-03-01,Hero's Reward,"At the beginning of the Horde's first main phase, reveal an additional card from the top of the Horde's library. The Horde casts that card.
Hero's Reward — When Altar of Mogis is put into a graveyard from anywhere, the Horde sacrifices two Minotaurs.",
Ark of Hunger,missing,Easy,Artifact,{2}{R}{W},4.0,rare,sos,2026-04-24,Mill,"Whenever one or more cards leave your graveyard, this artifact deals 1 damage to each opponent and you gain 1 life.
{T}: Mill a card. You may play that card this turn.",
Astroquarium,missing,Easy,Artifact,{2}{U},3.0,uncommon,unf,2022-10-07,,"When this artifact enters, you may put an art sticker on it.
{1}, {T}: Until end of turn, target creature becomes a blue Shark with base power and toughness 4/4. If the cracks in this artifact's art are completely covered, that creature becomes a blue Octopus with base power and toughness 8/8 instead. Activate only as a sorcery.",
Automated Assembly Line,missing,Easy,Artifact,{1}{W},2.0,rare,pip,2024-03-08,,"Whenever one or more artifact creatures you control deal combat damage to a player, you get {E} (an energy counter).
Pay {E}{E}{E}: Create a tapped 3/3 colorless Robot artifact creature token.",
Barrels of Blasting Jelly,missing,Easy,Artifact,{1},1.0,common,tla,2025-11-21,,"{1}: Add one mana of any color. Activate only once each turn.
{5}, {T}, Sacrifice this artifact: It deals 5 damage to target creature.",
